epoch,train_loss,train_pixel_accuracy,train_mean_foreground_dice,val_loss,val_pixel_accuracy,val_mean_foreground_dice,learning_rate,epoch_seconds,elapsed_seconds,elapsed_time,train_dice_class_0,train_dice_class_1,train_dice_class_2,train_dice_class_3,val_dice_class_0,val_dice_class_1,val_dice_class_2,val_dice_class_3
1,160.692156570086,0.9171441197395325,0.10041338205337524,0.9816960069552931,0.9470587372779846,0.114432692527771,0.01,58.77974079968408,60.11530090030283,00:01:00,0.9598667621612549,0.09726154804229736,0.0761108547449112,0.12786774337291718,0.9748708605766296,0.10325539857149124,0.12706057727336884,0.11298210173845291
2,0.3537536066152605,0.9460498690605164,0.2030215859413147,0.7758242584094799,0.9506222009658813,0.19450588524341583,0.01,58.58905200008303,119.75622530002147,00:02:00,0.9759691953659058,0.14160723984241486,0.16086038947105408,0.30659711360931396,0.9777634739875793,0.10500374436378479,0.22224503755569458,0.25626885890960693
3,0.1692067309040723,0.9535321593284607,0.26037779450416565,0.1695171402639182,0.9548212289810181,0.28959226608276367,0.01,58.83311190037057,179.75649910001084,00:03:00,0.9802215099334717,0.15831191837787628,0.213936910033226,0.40888455510139465,0.9807308316230774,0.1579698920249939,0.3014121353626251,0.4093947410583496
4,0.13495588196035757,0.9569925665855408,0.3038407266139984,0.2027744377652804,0.953743040561676,0.3590508699417114,0.01,58.82793330028653,239.7189805000089,00:04:00,0.9822043776512146,0.18501806259155273,0.2629005014896393,0.4636036157608032,0.9819141626358032,0.22038878500461578,0.3417806327342987,0.5149831771850586
5,0.1732539755152905,0.9547826051712036,0.2936488091945648,0.17380357458793297,0.9523807168006897,0.3845560550689697,0.01,58.84723689965904,299.7000656002201,00:05:00,0.9807952642440796,0.17346759140491486,0.25548821687698364,0.45199063420295715,0.9806724786758423,0.3302563428878784,0.3215070962905884,0.5019047856330872
6,0.18289957597382425,0.953982949256897,0.29458174109458923,0.17740066282490574,0.9424725770950317,0.3560841977596283,0.01,58.85020360024646,359.6718540000729,00:06:00,0.9803370237350464,0.1975402683019638,0.2543879747390747,0.4318169355392456,0.977809488773346,0.2761665880680084,0.32908812165260315,0.4629978835582733
7,0.1513622349563233,0.9563652276992798,0.3261573910713196,0.14494164583701935,0.9570940136909485,0.41365543007850647,0.01,58.84549150010571,419.0634401002899,00:06:59,0.9815804958343506,0.21719907224178314,0.28893786668777466,0.47233521938323975,0.9822312593460083,0.3438374400138855,0.381293922662735,0.5158349871635437
8,0.13262736068896736,0.9592279195785522,0.369441419839859,0.14132536029216475,0.957938551902771,0.30938926339149475,0.01,58.83764149993658,479.0365325999446,00:07:59,0.9833341836929321,0.258102148771286,0.3399229049682617,0.5102991461753845,0.9811407327651978,0.2634228765964508,0.1666582226753235,0.49808675050735474
9,0.11787669471125277,0.9613073468208313,0.4025362432003021,0.1744091329435823,0.9610267877578735,0.4588187634944916,0.01,59.03100509988144,538.6114469999447,00:08:59,0.9844120740890503,0.2943446934223175,0.3667939007282257,0.5464701652526855,0.9842609763145447,0.33277076482772827,0.4490649402141571,0.5946205854415894
10,0.1126432963439173,0.9628027677536011,0.42706072330474854,0.15811706358005131,0.962005615234375,0.4077068865299225,0.01,58.88326320005581,598.6034190002829,00:09:59,0.9853687286376953,0.3203802704811096,0.39707493782043457,0.5637269616127014,0.9833637475967407,0.3711257874965668,0.28629133105278015,0.5657035112380981
11,0.10643912765767005,0.9638450741767883,0.4497128427028656,0.152979724858173,0.9594469666481018,0.3067905008792877,0.01,58.81825179979205,657.973154600244,00:10:58,0.9857316017150879,0.33875030279159546,0.4135693311691284,0.5968188047409058,0.9814342260360718,0.06821420043706894,0.33171194791793823,0.5204453468322754
12,0.09504245128727022,0.9664810299873352,0.48835715651512146,0.12268197970100181,0.9624808430671692,0.43296507000923157,0.01,58.8526568999514,717.3631142000668,00:11:57,0.9871213436126709,0.37992992997169495,0.4550067186355591,0.6301348805427551,0.9837666153907776,0.2703321874141693,0.4033052623271942,0.6252577900886536
13,0.09372617853829866,0.9674521088600159,0.5099180936813354,0.11802356364944624,0.9645000696182251,0.4712097942829132,0.01,58.829858399927616,776.7424878999591,00:12:57,0.9871987700462341,0.40881240367889404,0.4598030745983124,0.6611387729644775,0.9846401810646057,0.3038524091243744,0.47197678685188293,0.6378002166748047
14,0.08598265976808828,0.9694531559944153,0.5475023984909058,0.12761029376397057,0.9674205183982849,0.5116204619407654,0.01,58.833519199863076,836.7084815003909,00:13:57,0.9880605340003967,0.46375614404678345,0.4871554970741272,0.6915955543518066,0.9861522316932678,0.31017163395881653,0.5107524394989014,0.7139372229576111
15,0.08172685306841933,0.971575140953064,0.5803256034851074,0.09494782944835684,0.9705198407173157,0.6040627360343933,0.01,58.877590199932456,896.6941381003708,00:14:57,0.9889461398124695,0.5020326972007751,0.5107389092445374,0.728205144405365,0.9878009557723999,0.5610958933830261,0.49312010407447815,0.757972240447998
16,0.07789727386448952,0.9722050428390503,0.6003538966178894,0.32430458940053114,0.9412588477134705,0.38842082023620605,0.01,58.872756000142545,956.680911200121,00:15:57,0.9888710379600525,0.5227352380752563,0.5292653441429138,0.7490611672401428,0.9766988754272461,0.302936315536499,0.36590471863746643,0.4964215159416199
17,0.07271429990220257,0.9741384983062744,0.6275157332420349,0.1266739588408243,0.9585757851600647,0.37249448895454407,0.01,59.06334109976888,1016.2940679001622,00:16:56,0.989795982837677,0.5633795261383057,0.5497103929519653,0.769457221031189,0.9826642870903015,0.19101135432720184,0.453671395778656,0.47280073165893555
18,0.06995777029964555,0.9746205806732178,0.6382431983947754,0.07884683574318255,0.9730873107910156,0.6690080761909485,0.01,58.988421900197864,1075.8583531002514,00:17:56,0.9898647665977478,0.5709404945373535,0.5608545541763306,0.7829345464706421,0.9889792799949646,0.6316693425178528,0.5754510164260864,0.7999038100242615
19,0.06343260074029444,0.9766786098480225,0.6700852513313293,2.9468309993624056,0.9508887529373169,0.11086598038673401,0.01,58.86921739997342,1135.8217964000069,00:18:56,0.990705132484436,0.6080530881881714,0.5940147638320923,0.8081879019737244,0.975605309009552,0.14035223424434662,0.06157197058200836,0.13067373633384705
20,0.05874193942276981,0.9783025979995728,0.6922277808189392,0.09129236963769746,0.97251957654953,0.6606822609901428,0.01,58.97908399999142,1195.3593906001188,00:19:55,0.991507351398468,0.639258861541748,0.6179219484329224,0.8195024728775024,0.9891652464866638,0.6162861585617065,0.5991145372390747,0.7666460871696472
21,0.05613723669562909,0.9795355796813965,0.7133293151855469,0.12716257881629403,0.9671988487243652,0.5975670218467712,0.01,58.596926199737936,1254.5031933002174,00:20:55,0.9919314980506897,0.6662226319313049,0.6363482475280762,0.8374172449111938,0.986589252948761,0.5095690488815308,0.5550962090492249,0.7280357480049133
