model,loss,run,mean_dice,rv_dice,myocardium_dice,lv_dice
Modified 2D U-Net,weighted_cross_entropy,unet2d_modified_100epoch_weighted_ce,0.875247,0.859272,0.845803,0.920667
Modified 2D U-Net,dice,unet2d_modified_100epoch_dice_loss,0.817620,0.730874,0.812123,0.909863
