epoch,train_loss,train_pixel_accuracy,train_mean_foreground_dice,val_loss,val_pixel_accuracy,val_mean_foreground_dice,learning_rate,epoch_seconds,elapsed_seconds,elapsed_time,train_dice_class_0,train_dice_class_1,train_dice_class_2,train_dice_class_3,val_dice_class_0,val_dice_class_1,val_dice_class_2,val_dice_class_3
1,92.30109151593265,0.9355463981628418,0.047842029482126236,0.7835678804048243,0.9495148062705994,0.05019790306687355,0.01,47.881218100001206,49.204505300000164,00:00:49,0.9680842757225037,0.05143792927265167,0.03304519131779671,0.059042979031801224,0.974812388420105,0.018421271815896034,0.03150686249136925,0.10066557675600052
2,0.31628013569837427,0.9569005966186523,0.11274196952581406,0.47518294575539505,0.948974072933197,0.16339033842086792,0.01,47.059158000000025,97.28796350000084,00:01:37,0.980172872543335,0.09424038231372833,0.0803079828619957,0.16367752850055695,0.9784314036369324,0.1516966074705124,0.10824157297611237,0.230232834815979
3,0.13550721649056294,0.962408721446991,0.247072234749794,0.26656532861332205,0.9554051756858826,0.25285741686820984,0.01,47.26874280000084,145.59079460000066,00:02:26,0.9845582246780396,0.22109858691692352,0.17151205241680145,0.34860607981681824,0.9806740880012512,0.19266408681869507,0.1362633854150772,0.4296448230743408
4,0.11115320377604083,0.9659319519996643,0.3263043165206909,0.3318607863736025,0.9570707678794861,0.2676306664943695,0.01,47.318469700001515,193.9642928000012,00:03:14,0.9862211346626282,0.2847556173801422,0.23076701164245605,0.4633903205394745,0.9806677103042603,0.15942475199699402,0.15320682525634766,0.49026036262512207
5,0.10084538770202542,0.9667733907699585,0.3525424003601074,0.41190437625914333,0.9569841623306274,0.3181767761707306,0.01,47.37127359999977,242.38558759999978,00:04:02,0.9865559339523315,0.30015748739242554,0.2542613446712494,0.5032084584236145,0.9818010330200195,0.25280123949050903,0.2045832723379135,0.49714580178260803
