epoch,train_loss,train_pixel_accuracy,train_mean_foreground_dice,val_loss,val_pixel_accuracy,val_mean_foreground_dice,learning_rate,epoch_seconds,elapsed_seconds,elapsed_time,train_dice_class_0,train_dice_class_1,train_dice_class_2,train_dice_class_3,val_dice_class_0,val_dice_class_1,val_dice_class_2,val_dice_class_3
1,0.1284324566728061,0.9818570613861084,0.304159015417099,0.08174532467765468,0.9877946376800537,0.3839896619319916,0.01,256.9567607999779,257.18128139991313,00:04:17,0.9917716979980469,0.15170921385288239,0.34473541378974915,0.4160323739051819,0.9952396750450134,0.010364863090217113,0.49546241760253906,0.6461415886878967
2,0.05470989859235694,0.9897767901420593,0.6084141135215759,0.040651703758963514,0.9929537773132324,0.7158489227294922,0.01,257.1812343997881,515.111196400132,00:08:35,0.9961459636688232,0.46437501907348633,0.6297855377197266,0.7310816645622253,0.997619092464447,0.6416230201721191,0.6753947734832764,0.8305289149284363
3,0.03621363913347542,0.9926511645317078,0.7248070240020752,0.1387490618202303,0.9891292452812195,0.396426796913147,0.01,257.2208185000345,773.1704969001003,00:12:53,0.9972655773162842,0.652436375617981,0.7007060050964355,0.8212787508964539,0.9959821701049805,0.23404709994792938,0.46859806776046753,0.4866352081298828
4,0.028934510560351012,0.994054913520813,0.7734789848327637,0.034979550529803546,0.9930259585380554,0.7480548024177551,0.01,257.11781729990616,1030.7570692002773,00:17:11,0.9978081583976746,0.7258785963058472,0.7348183393478394,0.8597398996353149,0.9973312020301819,0.6694414615631104,0.6988101601600647,0.8759129643440247
5,0.02641687017311006,0.9946449398994446,0.7928102612495422,0.03592646892049483,0.9947046041488647,0.762855052947998,0.01,257.1764131002128,1288.81204660004,00:21:29,0.9980389475822449,0.7481001615524292,0.7575786113739014,0.8727520704269409,0.9982724785804749,0.6861659288406372,0.7033213376998901,0.8990779519081116
6,0.021002079489204035,0.9955900311470032,0.8292169570922852,0.030724093867465854,0.9962005615234375,0.8353915810585022,0.01,257.30302900029346,1546.952515900135,00:25:47,0.9983651638031006,0.7926046252250671,0.7898292541503906,0.9052170515060425,0.9986743330955505,0.8107158541679382,0.7930728197097778,0.9023862481117249
7,0.023099623009029624,0.9952223896980286,0.8219521641731262,0.025681167987308334,0.9958626627922058,0.8356367945671082,0.01,257.1974760000594,1804.9814133001491,00:30:05,0.9981346130371094,0.7739502787590027,0.7883880138397217,0.9035182595252991,0.9984621405601501,0.7891445755958557,0.8014284372329712,0.9163371920585632
8,0.01706649999304665,0.9963010549545288,0.8590764999389648,0.027949982724551643,0.9967114925384521,0.8611351847648621,0.01,256.92322849994525,2062.707396000158,00:34:23,0.998570442199707,0.8238732218742371,0.8273572325706482,0.9259989261627197,0.9987609386444092,0.8298965096473694,0.8208245635032654,0.9326843023300171
9,0.014968859512759756,0.9968166947364807,0.8752725720405579,0.02056865551242871,0.997004508972168,0.879200279712677,0.01,256.9394418001175,2320.4588684001938,00:38:40,0.9988035559654236,0.8557490706443787,0.8387681245803833,0.931300699710846,0.9988608360290527,0.8543609380722046,0.8432654738426208,0.9399746060371399
10,0.014725852578568762,0.9968262910842896,0.8765453696250916,0.028704446186976772,0.9967731237411499,0.8659655451774597,0.01,256.6851910999976,2577.9637286001816,00:42:58,0.9987895488739014,0.855493426322937,0.8393619656562805,0.9347805976867676,0.9987438917160034,0.8297999501228333,0.8330855369567871,0.935011088848114
