epoch,train_loss,train_pixel_accuracy,train_mean_foreground_dice,val_loss,val_pixel_accuracy,val_mean_foreground_dice,learning_rate,epoch_seconds,elapsed_seconds,elapsed_time,train_dice_class_0,train_dice_class_1,train_dice_class_2,train_dice_class_3,val_dice_class_0,val_dice_class_1,val_dice_class_2,val_dice_class_3
1,0.02118758303058783,0.9924448132514954,0.8741981387138367,0.5610772054941259,0.969951331615448,0.5292661786079407,0.001,56.08006889999888,57.7903103000026,00:00:58,0.9971582889556885,0.8616219162940979,0.829632043838501,0.9313405752182007,0.9851658344268799,0.36691421270370483,0.4598522484302521,0.761031985282898
2,0.023819145535800716,0.991369366645813,0.8572077751159668,0.08654550949041856,0.9831323027610779,0.7676861882209778,0.001,44.396150799999305,103.41222840000046,00:01:43,0.9966774582862854,0.8388345241546631,0.8099135160446167,0.9228753447532654,0.9922767281532288,0.7186430096626282,0.6899763941764832,0.894439160823822
3,0.013862885902932469,0.9944141507148743,0.9050168395042419,0.07888501581242856,0.9851357340812683,0.801271915435791,0.001,44.42717810000249,149.13400680000268,00:02:29,0.9979934096336365,0.8999488353729248,0.869595468044281,0.9455061554908752,0.99338698387146,0.7914246916770935,0.7154644727706909,0.8969265818595886
4,0.013034701134200523,0.9947404861450195,0.9110396504402161,0.06662737351548385,0.9868980050086975,0.8284716606140137,0.001,44.57728670000142,194.9799645000021,00:03:15,0.9980970025062561,0.90885990858078,0.8745079636573792,0.9497511386871338,0.9945242404937744,0.8061267733573914,0.7544485926628113,0.9248397350311279
5,0.014902181574597625,0.9952089786529541,0.9178747534751892,0.14510865218658497,0.9627125263214111,0.6184708476066589,0.001,44.68570340000224,240.98281820000193,00:04:01,0.998314619064331,0.9180331230163574,0.8821563124656677,0.9534347653388977,0.9825143814086914,0.4546176493167877,0.5675522685050964,0.8332425355911255
6,0.14389596610137484,0.964681088924408,0.3466585576534271,0.14062975430711705,0.9586365222930908,0.2811757028102875,0.001,44.67907059999925,286.29509170000165,00:04:46,0.9852460026741028,0.26972901821136475,0.22130756080150604,0.5489389896392822,0.9811171889305115,0.06376121193170547,0.22203156352043152,0.5577343702316284
7,0.07294098283460919,0.9733863472938538,0.5014333128929138,0.11681059791761286,0.9646790027618408,0.49596667289733887,0.001,44.68976950000069,331.74457560000155,00:05:32,0.9890694618225098,0.4297023415565491,0.3885655403137207,0.6860319375991821,0.9849974513053894,0.4302704334259033,0.3886735737323761,0.6689561009407043
8,0.062489194158459827,0.9768101572990417,0.5865944027900696,0.11462180782607533,0.9648319482803345,0.54245525598526,0.001,44.585897099997965,376.96960070000205,00:06:17,0.9906304478645325,0.519635796546936,0.501500129699707,0.7386473417282104,0.9852717518806458,0.5072168707847595,0.428952157497406,0.6911967992782593
9,0.05624739713337083,0.9791645407676697,0.6401587128639221,0.11043500888315752,0.9670774936676025,0.561540424823761,0.001,44.69998099999793,422.3327778999992,00:07:02,0.9915037751197815,0.5901241302490234,0.5474175214767456,0.7829344272613525,0.985779345035553,0.4867730140686035,0.4844868779182434,0.713361382484436
10,0.05161090317256119,0.980905294418335,0.6765291690826416,0.12438739963712539,0.961380660533905,0.5558138489723206,0.001,44.701962600000115,467.74522699999943,00:07:48,0.992198646068573,0.6309522390365601,0.5895746946334839,0.8090606331825256,0.9836229085922241,0.5234811902046204,0.45554012060165405,0.688420295715332
11,0.07807900949886314,0.9737262725830078,0.5265330672264099,0.10457407370369065,0.9662732481956482,0.5356453061103821,0.001,44.732024199998705,513.1181424000024,00:08:33,0.989054262638092,0.4386008381843567,0.44347813725471497,0.6975200772285461,0.9855204224586487,0.44928503036499023,0.4540737271308899,0.7035771608352661
12,0.056214783146919294,0.9793175458908081,0.6384394764900208,0.09930493688599311,0.9677425622940063,0.5583875179290771,0.001,44.70609509999849,558.4507059000025,00:09:18,0.9916893839836121,0.5786588191986084,0.5604169368743896,0.776242733001709,0.9859341979026794,0.4588387906551361,0.4944286346435547,0.7218950986862183
13,0.0506166485761945,0.9813154935836792,0.6784569621086121,0.09510919210665367,0.9670570492744446,0.6100549697875977,0.001,44.66559330000018,603.7654167000001,00:10:04,0.99250727891922,0.6232422590255737,0.6021689176559448,0.8099597096443176,0.9862305521965027,0.5778903961181641,0.5015127062797546,0.7507616877555847
