epoch,train_loss,train_pixel_accuracy,train_mean_foreground_dice,val_loss,val_pixel_accuracy,val_mean_foreground_dice,learning_rate,epoch_seconds,elapsed_seconds,elapsed_time,train_dice_class_0,train_dice_class_1,train_dice_class_2,train_dice_class_3,val_dice_class_0,val_dice_class_1,val_dice_class_2,val_dice_class_3
1,0.10434124006338769,0.9749290347099304,0.006117377430200577,0.10225413250612383,0.9844689965248108,0.0,0.01,242.68955010001082,244.08990199991968,00:04:04,0.987366259098053,0.0016754185780882835,0.002043265849351883,0.01463344693183899,0.9921737313270569,0.0,0.0,0.0
2,0.03863170998980393,0.9874890446662903,0.35161760449409485,0.02955612325343617,0.9897287487983704,0.5136892795562744,0.01,244.63445500005037,489.27976429997943,00:08:09,0.9947100281715393,0.13846339285373688,0.38679245114326477,0.5295969843864441,0.9963638782501221,0.40629875659942627,0.5717108249664307,0.5630582571029663
3,0.023046843215082016,0.9916624426841736,0.6135752201080322,0.033664782910064896,0.9905622005462646,0.5325601100921631,0.01,243.3403004000429,733.2183497999795,00:12:13,0.9969896078109741,0.46808233857154846,0.631136953830719,0.7415062785148621,0.9962154626846313,0.2647043764591217,0.6104760766029358,0.7224998474121094
4,0.016963039966134345,0.9937350749969482,0.7226810455322266,0.0154332875530609,0.9942485094070435,0.7720113396644592,0.01,244.5158405000111,978.3187854998978,00:16:18,0.9977894425392151,0.6381906270980835,0.700142502784729,0.8297100067138672,0.9977355003356934,0.6816518306732178,0.7403020858764648,0.8940801024436951
5,0.014972796738001455,0.9944490790367126,0.7572405934333801,0.01264964348641548,0.9953974485397339,0.8105903267860413,0.01,246.64913179993164,1225.5509647999424,00:20:26,0.998040497303009,0.6896799206733704,0.7280712723731995,0.8539707064628601,0.9983649253845215,0.7527429461479187,0.7690483331680298,0.9099797606468201
6,0.012968777235187785,0.9951710104942322,0.7882325053215027,0.012209512370533962,0.9954763054847717,0.813371479511261,0.01,257.61495720001403,1483.7684019999579,00:24:44,0.998329758644104,0.7341050505638123,0.7539874315261841,0.8766051530838013,0.9983723759651184,0.7578057050704956,0.76518714427948,0.9171215891838074
7,0.011135668863166923,0.995851457118988,0.8193917274475098,0.011829457313001633,0.9956801533699036,0.8240602612495422,0.01,246.4310947000049,1730.793826399953,00:28:51,0.9985564351081848,0.7754269242286682,0.7870084643363953,0.8957398533821106,0.998494029045105,0.7826991677284241,0.7872945666313171,0.9021871089935303
8,0.010696575989098293,0.9960175156593323,0.8264366984367371,0.012889106872486558,0.9956571459770203,0.8151745200157166,0.01,253.73923209996428,1985.1665663999738,00:33:05,0.9986148476600647,0.7893075942993164,0.7933112978935242,0.8966909646987915,0.9985086917877197,0.7839087843894958,0.7820825576782227,0.8795320987701416
